created_at,text,full_name
25-05-2021,"Well, it's official I'm fully vaccinated for COVID19.

#FullyVaccinated
#COVID19Vaccine 
#Moderna2","Arkansas, USA"
23-05-2021,It’s sad but also really #American that people have to be enticed to get the #COVID19Vaccine. Not gonna lie it didn’t hurt that my job paid me to do it but you would think that you and your families health would be a priority.,"Ohio, USA"
21-05-2021,Covid vaccine clinic @griffinhealth #PfizerVaccine #COVID19Vaccine @CDCgov #stopthespread 😷 https://t.co/gH2wm4nVER,"Connecticut, USA"
20-05-2021,"I'm a guy who, for the most part, supported Trump. I also just got my 2nd dose of the vaccine. I'm like a goddamned unicorn. #COVIDVaccination #CovidVaccine #COVID19Vaccine","Georgia, USA"
19-05-2021,Heading out to get my 2nd #COVID19Vaccine 💉 here’s to hoping the 3 days of flu-like symptoms resulting from the first shot won’t happen this time. https://t.co/tXsmWCBXUX,"North Carolina, USA"
18-05-2021,1st dose #COVID19Vaccine ✔🩹done ! Had been 😳🥺😬! So far: sore arm &amp; tiredness 😌! 2nd dose in 3 wks #PfizerVaccine ! @MargHelgen @Kellie_Martin @Emily_Beecham @thekjohnston @LeaKThompson @Iam_BrookeSmith @EllenBarkin @KimCattrall @Heyjude629 @MaryMcDonnell10 @Mariska https://t.co/CfhWOSPHfp,"Ohio, USA"
18-05-2021,@GKamalakarTRS after watching #pressmeet about @Eatala_Rajender I would like to dedicate this Vedio clip to @GKamalakarTRS arey falthu ga first #COVID19Vaccine ramp up chei and visit #gov #Hospital take care of poor people. @SonuSood he doing great job🙌🏻.  Let learn for him GKTRS https://t.co/6iqEYuT6Et,"Virginia, USA"
18-05-2021,"En mi trabajo vacunaron hace 8 días. 

Yo ya estaba vacunado de otro lado hace más de mes y pico. 

Hoy, en una reunión de trabajo dijeron que los que habían tomado la #COVID19Vaccine en la misma empresa les darían un bono de 100 lechugas. 

#Yo https://t.co/kCiin0uXkL","Indiana, USA"
18-05-2021,"https://t.co/9Fzatq6G7u
60-90% vaccination compliance is needed for herd immunity. We are currently at 35%. So for those with no plan to get vaccinated &amp; counting on ""herd immunity"" to keep them safe from COVID-19, good luck with that. #COVID19Vaccine #COVID19 #CDC #HerdImmunity","Virginia, USA"
18-05-2021,My arm is so fucking sore #COVID19Vaccine,"Ohio, USA"
18-05-2021,"With what seems like the end of the pandemic on the horizon.. do you think sales for party size chips will improve?
@LAYS @Doritos @olddutch 
#partysize #potatochips #COVID19Vaccine #COVID19Pandemic","Wisconsin, USA"
17-05-2021,"Good morning everyone, getting my 2nd shot of the #COVID19Vaccine today. The little one is staying home today","Ohio, USA"
16-05-2021,Trump got vaccinated in secret &amp; continued to spread misinformation about the vaccine. When will his “followers” wake up? #COVID19Vaccine #BABEVAXX https://t.co/EJpLGkzhLL,"Idaho, USA"
16-05-2021,2nd Injection💉 Fully COVID-19🦠😷 Vaccinated; Pfizer Vaccine!! #COVID19Vaccine https://t.co/YYBOlpKIBN,"Georgia, USA"
