date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
17-08-2021,@JordanGhastly Sad sack of….. okay. #NoVaccineMandates #NoMaskMandates #DeltaVariant #mindlesssheep #Antibodies #CovidVaccine #Delta #cancelcancelculture #HydroxyChloroquine #FactCheck https://t.co/IucAPsL6rT,"Texas, USA",8,sack okay novaccinemandates nomaskmandates deltavariant mindlesssheep antibodies covidvaccine delta cancelcancelculture hydroxychloroquine factcheck,0.5,0.5,Positive,No emotion
17-08-2021,Any company or business that forces their employees to get the covid vaccine on order to keep their jobs needs to be boycotted! #covid #COVID19 #coronavirus #DeltaVariant #vaccine #covidvaccine #mybodymychoice #protectyourrights #vaccinesdontwork #donttrustthevaccine ...,"Oklahoma, USA",8,company business forces employees covid vaccine order keep jobs needs boycotted covid covid19 coronavirus deltavariant vaccine covidvaccine mybodymychoice protectyourrights vaccinesdontwork donttrustthevaccine,0.0,0.0,Neutral,positive
16-08-2021,"FREE VACCINES AGAINST COVID-19! NO appointment needed! 12 years old and up. Friday 8/20 thru Sunday 8/22, located on our East parking lot. #pomonavalleyindoorswapmeet #pomona #indoorswapmeet #freevaccines #covidvaccine https://t.co/knoKOzYXvv","California, USA",8,free vaccines covid19 appointment needed years friday thru sunday located east parking pomonavalleyindoorswapmeet pomona indoorswapmeet freevaccines covidvaccine,0.4,0.8,Positive,No emotion
16-08-2021,Reality. #COVID19 #VAXXED #GetVaccinatedNow #CovidVaccine https://t.co/LoQ6tOVlKb,"Virginia, USA",8,reality covid19 vaxxed getvaccinatednow covidvaccine,0.0,0.0,Neutral,No emotion
16-08-2021,Facts are facts. Stay safe. #COVID19 #CovidVaccine #GetVaccinatedNow. https://t.co/m1wRqXh4lo,"Florida, USA",8,facts facts stay safe covid19 covidvaccine getvaccinatednow,0.5,0.5,Positive,trust
16-08-2021,"My stepson &amp; his girlfriend were vaccine hesitant. We offered to take them on a trip, but said we were not comfortable traveling/staying w/unvaccinated ppl. They got vaccinated. Incentives work. #BABEVAXX #CovidVaccine #COVID19 https://t.co/FKl1l43RzZ","Idaho, USA",8,stepson girlfriend vaccine hesitant offered take trip said comfortable travelingstaying wunvaccinated vaccinated incentives work babevaxx covidvaccine covid19,0.4,0.8,Positive,surprise
16-08-2021,#CovidVaccine #COVID keep it up Tennessee. https://t.co/WqbIbtNYqQ,"Tennessee, USA",8,covidvaccine covid keep tennessee,0.0,0.0,Neutral,No emotion
16-08-2021,Poolside SummerVibes-Kalahari WaterPark https://t.co/L0HGx29HXc via @YouTube #wtfhappenedin1971 #POOL #AMCNOTLEAVING #CovidVaccine #Crypto #Curfew #Subscribetomychannel #SubscribeNow #Afghan_lives_matter #BackToSchool #Houston #VaccinesWork #vaccinated #YouTube #VIDEOS #SAFEMOON,"Texas, USA",8,poolside summervibeskalahari waterpark wtfhappenedin1971 pool amcnotleaving covidvaccine crypto curfew subscribetomychannel subscribenow afghanlivesmatter backtoschool houston vaccineswork vaccinated youtube videos safemoon,0.0,0.0,Neutral,No emotion
16-08-2021,"US heroes killed fighting evil that still wins. Americans stuck behind #Talibans lines. Gender reveals that ignite #wildfires. Americans who wont get #CovidVaccine to protect children. Maybe we did ""Start the Fire?"" https://t.co/w6AnYiqefA","Georgia, USA",8,heroes killed fighting evil still wins americans stuck behind talibans lines gender reveals ignite wildfires americans wont covidvaccine protect children maybe start fire,-0.3249999999999999,0.475,Negative,fear
16-08-2021,We are so excited about #COVIDVaccine we are throwing a PARADE! 💉🚓🚒🚌🚐🚐🚓💉 https://t.co/VlpDwBlup5,"Pennsylvania, USA",8,excited covidvaccine throwing parade,0.0625,0.4916666666666667,Positive,trust
